               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.022097,             0.01415,            0.010188,             0.82875,             0.84161,             0.90728,             0.72822,            0.018802,            0.011244,           0.0081683,             0.00838,             0.00838,             0.00838
                  38,             0.02193,            0.014181,           0.0095656,             0.64769,               0.905,             0.84095,             0.67424,            0.017699,            0.010595,            0.011505,            0.008335,            0.008335,            0.008335
                  39,            0.021617,            0.013808,           0.0093206,             0.61329,             0.91324,             0.81251,             0.64259,            0.018233,            0.011016,            0.012155,             0.00829,             0.00829,             0.00829
                  40,            0.021683,            0.013696,           0.0090947,             0.79328,             0.83947,             0.89865,             0.73936,            0.017277,            0.010481,           0.0096954,            0.008245,            0.008245,            0.008245
                  41,            0.021572,            0.013817,           0.0087355,             0.63799,             0.88782,             0.86654,             0.69318,            0.018232,            0.010779,            0.011154,              0.0082,              0.0082,              0.0082
                  42,            0.021469,            0.013701,           0.0084857,             0.59416,             0.86711,             0.74346,             0.56925,            0.020032,            0.011978,            0.011626,            0.008155,            0.008155,            0.008155
                  43,            0.021449,            0.013868,           0.0079599,             0.66999,             0.88658,             0.86265,             0.71136,            0.015823,            0.010023,            0.010604,             0.00811,             0.00811,             0.00811
                  44,            0.021278,            0.013577,           0.0078754,             0.80237,             0.87153,             0.90475,             0.74617,            0.015835,            0.009779,           0.0091651,            0.008065,            0.008065,            0.008065
                  45,            0.021205,            0.013596,           0.0077893,             0.78104,             0.82842,             0.88649,             0.69549,            0.019812,            0.011305,           0.0090566,             0.00802,             0.00802,             0.00802
                  46,            0.020946,            0.013472,           0.0075055,             0.75514,             0.86546,             0.91201,             0.75213,            0.016738,            0.010381,           0.0084234,            0.007975,            0.007975,            0.007975
                  47,            0.020807,            0.013523,           0.0071635,             0.73309,             0.83068,              0.8621,             0.70548,            0.017315,            0.010628,            0.010429,             0.00793,             0.00793,             0.00793
                  48,             0.02101,            0.013499,           0.0072179,              0.8057,             0.89446,             0.91781,             0.75841,            0.017854,            0.010515,            0.007835,            0.007885,            0.007885,            0.007885
                  49,            0.020554,             0.01346,           0.0071517,             0.63914,             0.86453,             0.83031,             0.66967,            0.019559,            0.011143,            0.010966,             0.00784,             0.00784,             0.00784
                  50,             0.02059,            0.013127,           0.0065894,             0.81074,             0.85935,             0.90945,             0.75218,            0.016709,             0.01015,           0.0082475,            0.007795,            0.007795,            0.007795
                  51,            0.020853,            0.013255,           0.0067386,             0.72284,              0.8675,             0.87645,             0.71764,            0.017435,            0.010502,            0.010677,             0.00775,             0.00775,             0.00775
                  52,            0.020719,             0.01321,           0.0067427,             0.77593,             0.87359,             0.90519,             0.73005,            0.017134,            0.010461,           0.0083606,            0.007705,            0.007705,            0.007705
                  53,            0.020495,            0.013036,           0.0062451,             0.82421,             0.89042,             0.92547,             0.75198,            0.017331,            0.010444,           0.0074125,             0.00766,             0.00766,             0.00766
                  54,            0.020245,            0.012994,           0.0065213,             0.70566,             0.87263,             0.84699,              0.6799,            0.016822,            0.010155,            0.010918,            0.007615,            0.007615,            0.007615
                  55,            0.020161,            0.012995,           0.0062338,             0.78784,             0.85391,             0.90023,              0.7393,            0.016726,            0.010352,           0.0093485,             0.00757,             0.00757,             0.00757
                  56,             0.02027,            0.013119,           0.0059428,             0.84576,             0.87733,             0.93286,              0.7712,            0.016562,            0.010534,           0.0079162,            0.007525,            0.007525,            0.007525
                  57,            0.020424,            0.013314,           0.0058704,             0.78676,             0.88268,             0.91399,             0.75752,            0.015747,           0.0098321,           0.0087916,             0.00748,             0.00748,             0.00748
                  58,            0.020194,            0.013123,           0.0057713,             0.83757,             0.87787,             0.91643,             0.74047,            0.015989,            0.010468,           0.0078646,            0.007435,            0.007435,            0.007435
                  59,            0.019773,            0.012941,           0.0064814,             0.81656,             0.84968,             0.91237,             0.74782,            0.016316,             0.01001,           0.0084395,             0.00739,             0.00739,             0.00739
                  60,            0.019987,            0.013004,           0.0058811,             0.86264,             0.89327,             0.94548,             0.78596,            0.016026,            0.010294,           0.0069308,            0.007345,            0.007345,            0.007345
                  61,            0.019796,            0.012881,           0.0051725,             0.90434,             0.92515,             0.97367,             0.79995,            0.016335,             0.01031,           0.0057985,              0.0073,              0.0073,              0.0073
                  62,            0.019842,            0.012825,           0.0053714,             0.84684,              0.9122,             0.95303,             0.78002,            0.016063,            0.010175,           0.0072876,            0.007255,            0.007255,            0.007255
                  63,            0.019943,            0.012988,           0.0057445,             0.83903,             0.89821,             0.93354,             0.77452,            0.014984,           0.0099697,           0.0076019,             0.00721,             0.00721,             0.00721
                  64,            0.019572,             0.01279,           0.0054386,             0.82502,             0.88393,              0.9358,             0.77153,            0.016478,            0.010072,           0.0077971,            0.007165,            0.007165,            0.007165
                  65,            0.019708,            0.012777,           0.0051643,             0.78672,             0.87933,             0.91385,             0.75432,            0.016042,            0.010005,           0.0082057,             0.00712,             0.00712,             0.00712
                  66,            0.019668,            0.012744,           0.0052789,             0.80771,             0.88146,             0.92004,             0.75668,            0.015481,           0.0099239,           0.0074497,            0.007075,            0.007075,            0.007075
